Date,Open,High,Low,Close,Volume,,,
2024-08-23,5045.00,5088.799805,4880,4901.50,802974,2024-08-23,,
2024-08-26,4903.00,4978.75,4900.100098,4959.40,475103,2024-08-26,,
2024-08-27,5010.00,5010,4925.649902,4958.55,144910,2024-08-27,,
2024-08-28,4995.50,4995.5,4905,4964.85,504521,2024-08-28,,
2024-08-29,4991.50,5155.549805,4980.649902,5008.80,939641,2024-08-29,,
2024-08-30,5020.00,5042,4900,4927.45,564035,2024-08-30,,
2024-09-02,4977.00,5023.950195,4951,4999.85,290596,2024-09-02,,
2024-09-03,5029.00,5039.799805,4965,4980.60,222027,2024-09-03,,
2024-09-04,4974.00,5109,4960.350098,5100.90,319841,2024-09-04,,
2024-09-05,5084.10,5361.149902,5077.100098,5308.15,1323435,2024-09-05,,
2024-09-06,5293.00,5354.549805,5202,5303.45,721164,2024-09-06,,
2024-09-09,5303.45,5395,5216.049805,5361.40,594876,2024-09-09,,
2024-09-10,5361.40,5422.450195,5315,5344.40,400985,2024-09-10,,
2024-09-11,5357.90,5449,5279.100098,5299.10,461780,2024-09-11,,
2024-09-12,5330.00,5376.049805,5216.899902,5238.55,380591,2024-09-12,,
2024-09-13,5250.90,5255.850098,5155,5187.05,395545,2024-09-13,,
2024-09-16,5188.05,5260,5176.149902,5204.80,198479,2024-09-16,,
2024-09-17,5227.00,5254,5200.100098,5219.85,155984,2024-09-17,,
2024-09-18,5225.00,5289,5219.899902,5265.20,201983,2024-09-18,,
2024-09-19,5295.00,5443.950195,5180,5342.50,392198,2024-09-19,,
2024-09-20,5360.00,5417.950195,5225.100098,5320.55,598428,2024-09-20,,
2024-09-23,5355.15,5363,5260.25,5297.45,179528,2024-09-23,,
2024-09-24,5304.95,5484.850098,5231.149902,5391.45,672936,2024-09-24,,
2024-09-25,5400.00,5417.5,5232,5265.50,529354,2024-09-25,,
2024-09-26,5313.45,5313.450195,5164,5198.05,372440,2024-09-26,,
2024-09-27,5224.60,5226,5090,5102.30,566687,2024-09-27,,
2024-09-30,5102.30,5215,5080,5096.30,437174,2024-09-30,,
2024-10-01,5095.00,5138,4936.100098,4954.35,562718,2024-10-01,,
2024-10-03,4924.55,5015,4881,4942.60,615247,2024-10-03,,
2024-10-04,4875.00,4875,4696.100098,4737.55,2983507,2024-10-04,,
